window_id,window_group,duration_years,requested_start,requested_end,start_month_num,complete_window,terminal_near_complete,comparison,left_arm,right_arm,left_end_equity,right_end_equity,left_return_pct,right_return_pct,delta_return_pct,left_max_dd_pct,right_max_dd_pct,dd_worsening_pp,left_sharpe,right_sharpe,delta_sharpe,left_slippage,right_slippage,left_trades,right_trades,left_win_rate_pct,right_win_rate_pct,left_survival_pass,right_survival_pass,left_broker100_pass,right_broker100_pass,left_broker10_peak_pct,right_broker10_peak_pct,left_days_over_100pct,right_days_over_100pct,return_win,right_positive,left_positive,dd_noninferior_2pp,sharpe_noninferior_005,left_dd40_fail,right_dd40_fail,left_dd50_fail,right_dd50_fail
roll_2y_2023_06,rolling_2y,2,2023-06-01,2025-05-31,6,1,0,A_vs_C,A,C,276025.0,257985.00000000003,84.01666666666668,71.99000000000002,-12.026666666666657,-19.70811580446131,-19.702136922686197,0.0,1.2045366583808412,1.0860095712403763,-0.11852708714046489,15270.0,14890.0,163,169,51.632047477744806,52.03488372093024,1,1,1,1,64.91187257675783,58.32987348889513,0,0,0,1,1,1,0,0,0,0,0
roll_2y_2023_06,rolling_2y,2,2023-06-01,2025-05-31,6,1,0,A_vs_P,A,P,276025.0,269475.0,84.01666666666668,79.65,-4.366666666666674,-19.70811580446131,-19.657717887113048,0.0,1.2045366583808412,1.143105434735246,-0.06143122364559517,15270.0,15130.0,163,167,51.632047477744806,52.1865889212828,1,1,1,1,64.91187257675783,57.246020630434394,0,0,0,1,1,1,0,0,0,0,0
roll_2y_2023_06,rolling_2y,2,2023-06-01,2025-05-31,6,1,0,C_vs_P,C,P,257985.00000000003,269475.0,71.99000000000002,79.65,7.659999999999982,-19.702136922686197,-19.657717887113048,0.0,1.0860095712403763,1.143105434735246,0.057095863494869725,14890.0,15130.0,169,167,52.03488372093024,52.1865889212828,1,1,1,1,58.32987348889513,57.246020630434394,0,0,1,1,1,1,1,0,0,0,0
roll_2y_2023_06,rolling_2y,2,2023-06-01,2025-05-31,6,1,0,A_vs_Q,A,Q,276025.0,269475.0,84.01666666666668,79.65,-4.366666666666674,-19.70811580446131,-19.657717887113048,0.0,1.2045366583808412,1.143105434735246,-0.06143122364559517,15270.0,15130.0,163,167,51.632047477744806,52.1865889212828,1,1,1,1,64.91187257675783,57.246020630434394,0,0,0,1,1,1,0,0,0,0,0
roll_2y_2023_06,rolling_2y,2,2023-06-01,2025-05-31,6,1,0,C_vs_Q,C,Q,257985.00000000003,269475.0,71.99000000000002,79.65,7.659999999999982,-19.702136922686197,-19.657717887113048,0.0,1.0860095712403763,1.143105434735246,0.057095863494869725,14890.0,15130.0,169,167,52.03488372093024,52.1865889212828,1,1,1,1,58.32987348889513,57.246020630434394,0,0,1,1,1,1,1,0,0,0,0
roll_2y_2023_06,rolling_2y,2,2023-06-01,2025-05-31,6,1,0,P_vs_Q,P,Q,269475.0,269475.0,79.65,79.65,0.0,-19.657717887113048,-19.657717887113048,0.0,1.143105434735246,1.143105434735246,0.0,15130.0,15130.0,167,167,52.1865889212828,52.1865889212828,1,1,1,1,57.246020630434394,57.246020630434394,0,0,1,1,1,1,1,0,0,0,0
roll_2y_2024_01,rolling_2y,2,2024-01-01,2025-12-31,1,1,0,A_vs_C,A,C,341276.20000000007,342791.20000000007,127.5174666666667,128.5274666666667,1.009999999999991,-22.562159686529924,-22.375140359066855,0.0,1.3913092407959873,1.3979219782466952,0.006612737450707895,15870.0,16540.0,149,155,52.14521452145215,52.28758169934641,1,1,1,1,55.87310158051753,55.87310158051753,0,0,1,1,1,1,1,0,0,0,0
roll_2y_2024_01,rolling_2y,2,2024-01-01,2025-12-31,1,1,0,A_vs_P,A,P,341276.20000000007,348246.20000000007,127.5174666666667,132.16413333333338,4.646666666666675,-22.562159686529924,-23.10458351423431,0.5424238277043862,1.3913092407959873,1.3628306911047534,-0.028478549691233868,15870.0,16950.0,149,156,52.14521452145215,51.80327868852459,1,1,1,1,55.87310158051753,55.54871579124509,0,0,1,1,1,1,1,0,0,0,0
roll_2y_2024_01,rolling_2y,2,2024-01-01,2025-12-31,1,1,0,C_vs_P,C,P,342791.20000000007,348246.20000000007,128.5274666666667,132.16413333333338,3.6366666666666845,-22.375140359066855,-23.10458351423431,0.7294431551674556,1.3979219782466952,1.3628306911047534,-0.03509128714194176,16540.0,16950.0,155,156,52.28758169934641,51.80327868852459,1,1,1,1,55.87310158051753,55.54871579124509,0,0,1,1,1,1,1,0,0,0,0
roll_2y_2024_01,rolling_2y,2,2024-01-01,2025-12-31,1,1,0,A_vs_Q,A,Q,341276.20000000007,348246.20000000007,127.5174666666667,132.16413333333338,4.646666666666675,-22.562159686529924,-23.10458351423431,0.5424238277043862,1.3913092407959873,1.3628306911047534,-0.028478549691233868,15870.0,16950.0,149,156,52.14521452145215,51.80327868852459,1,1,1,1,55.87310158051753,55.54871579124509,0,0,1,1,1,1,1,0,0,0,0
roll_2y_2024_01,rolling_2y,2,2024-01-01,2025-12-31,1,1,0,C_vs_Q,C,Q,342791.20000000007,348246.20000000007,128.5274666666667,132.16413333333338,3.6366666666666845,-22.375140359066855,-23.10458351423431,0.7294431551674556,1.3979219782466952,1.3628306911047534,-0.03509128714194176,16540.0,16950.0,155,156,52.28758169934641,51.80327868852459,1,1,1,1,55.87310158051753,55.54871579124509,0,0,1,1,1,1,1,0,0,0,0
roll_2y_2024_01,rolling_2y,2,2024-01-01,2025-12-31,1,1,0,P_vs_Q,P,Q,348246.20000000007,348246.20000000007,132.16413333333338,132.16413333333338,0.0,-23.10458351423431,-23.10458351423431,0.0,1.3628306911047534,1.3628306911047534,0.0,16950.0,16950.0,156,156,51.80327868852459,51.80327868852459,1,1,1,1,55.54871579124509,55.54871579124509,0,0,1,1,1,1,1,0,0,0,0
