diagnostic_index,datetime,date,contract_vt_symbol,product_vt_symbol,direction,entry_context,long_signal_range_atr_enabled,long_signal_range_lookback,long_signal_range_atr_period,long_signal_range_atr_multiplier,long_signal_range_atr_entry_context,long_signal_range_atr_direction,long_signal_range_high,long_signal_range_low,long_signal_range_value,long_signal_range_prior_atr,long_signal_range_atr_threshold,long_signal_range_atr_condition_met,long_signal_range_atr_reason,long_signal_range_atr_blocked,long_signal_range_atr_selected_volume_before,long_signal_range_atr_selected_volume_after,profile,start_month,variant,account_capital,c3_capital,experiment_arm
55,2019-03-04 00:00:00+08:00,2019-03-04,rb1905.SHFE,rb.SHFE,long,flat_entry,1,10,5,3.0,flat_entry,long,3849.0,3578.0,271.0,65.4,196.20000000000002,1,range_strictly_above_threshold,1,9,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
56,2019-03-05 00:00:00+08:00,2019-03-05,OI905.CZCE,OI.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,6936.0,6566.0,370.0,134.8,404.40000000000003,0,range_not_above_threshold,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
57,2019-03-07 00:00:00+08:00,2019-03-07,CF905.CZCE,CF.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,15665.0,15175.0,490.0,146.0,438.0,1,range_strictly_above_threshold,1,4,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
58,2019-03-12 00:00:00+08:00,2019-03-12,FG905.CZCE,FG.CZCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,13,13,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
59,2019-03-20 00:00:00+08:00,2019-03-20,AP905.CZCE,AP.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,11437.0,11131.0,306.0,147.4,442.20000000000005,0,range_not_above_threshold,0,3,3,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
60,2019-03-25 00:00:00+08:00,2019-03-25,CF905.CZCE,CF.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,15395.0,15140.0,255.0,123.0,369.0,0,range_not_above_threshold,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
61,2019-03-25 00:00:00+08:00,2019-03-25,OI905.CZCE,OI.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,7240.0,6815.0,425.0,104.6,313.79999999999995,1,range_strictly_above_threshold,1,4,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
62,2019-03-29 00:00:00+08:00,2019-03-29,AP905.CZCE,AP.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,11678.0,11212.0,466.0,98.6,295.79999999999995,1,range_strictly_above_threshold,1,1,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
63,2019-03-29 00:00:00+08:00,2019-03-29,CF905.CZCE,CF.CZCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
64,2019-04-01 00:00:00+08:00,2019-04-01,MA905.CZCE,MA.CZCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,0,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
65,2019-04-03 00:00:00+08:00,2019-04-03,hc1905.SHFE,hc.SHFE,long,flat_entry,1,10,5,3.0,flat_entry,long,3830.0,3641.0,189.0,55.4,166.2,1,range_strictly_above_threshold,1,3,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
66,2019-04-04 00:00:00+08:00,2019-04-04,au1906.SHFE,au.SHFE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,1,1,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
67,2019-04-11 00:00:00+08:00,2019-04-11,fu1905.SHFE,fu.SHFE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,9,9,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
68,2019-04-12 00:00:00+08:00,2019-04-12,SM905.CZCE,SM.CZCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,9,9,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
69,2019-04-26 00:00:00+08:00,2019-04-26,sp1906.SHFE,sp.SHFE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,5,5,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
70,2019-05-31 00:00:00+08:00,2019-05-31,ru1909.SHFE,ru.SHFE,long,flat_entry,1,10,5,3.0,flat_entry,long,12445.0,11620.0,825.0,239.0,717.0,1,range_strictly_above_threshold,1,2,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
71,2019-06-11 00:00:00+08:00,2019-06-11,OI909.CZCE,OI.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,7207.0,7002.0,205.0,75.6,226.79999999999998,0,range_not_above_threshold,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
72,2019-06-24 00:00:00+08:00,2019-06-24,rb1910.SHFE,rb.SHFE,long,flat_entry,1,10,5,3.0,flat_entry,long,3966.0,3683.0,283.0,68.8,206.39999999999998,1,range_strictly_above_threshold,1,3,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
73,2019-06-28 00:00:00+08:00,2019-06-28,hc1910.SHFE,hc.SHFE,long,flat_entry,1,10,5,3.0,flat_entry,long,3998.0,3558.0,440.0,104.6,313.79999999999995,1,range_strictly_above_threshold,1,4,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
74,2019-07-01 00:00:00+08:00,2019-07-01,OI909.CZCE,OI.CZCE,short,flat_entry,1,10,5,3.0,flat_entry,short,,,,,,0,direction_excluded,0,4,4,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
