trade_date,datetime,symbol,exchange,open,high,low,close,volume,open_interest
2018-01-04,2018-01-04T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-05,2018-01-05T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-08,2018-01-08T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-09,2018-01-09T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-10,2018-01-10T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-11,2018-01-11T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-12,2018-01-12T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-15,2018-01-15T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-16,2018-01-16T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-17,2018-01-17T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-18,2018-01-18T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-19,2018-01-19T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-22,2018-01-22T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-23,2018-01-23T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-24,2018-01-24T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-25,2018-01-25T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-26,2018-01-26T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-29,2018-01-29T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-30,2018-01-30T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-31,2018-01-31T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-02-01,2018-02-01T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-02-02,2018-02-02T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-02-05,2018-02-05T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-02-06,2018-02-06T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-02-07,2018-02-07T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-02-08,2018-02-08T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-02-09,2018-02-09T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-02-12,2018-02-12T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-02-13,2018-02-13T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-02-14,2018-02-14T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-02-22,2018-02-22T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
