trade_id,order_id,datetime,date,time,vt_symbol,symbol,exchange,direction,offset,price,volume,signed_volume,gateway_name,exit_reason,profile,start_month,variant,account_capital,c3_capital,experiment_arm
BACKTESTING.504,BACKTESTING.436,2022-09-01 00:00:00+08:00,2022-09-01,00:00:00,SA301.CZCE,SA301,CZCE,多,开,2360.0,211.0,211.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.505,BACKTESTING.437,2022-09-02 00:00:00+08:00,2022-09-02,00:00:00,SA301.CZCE,SA301,CZCE,空,平,2310.0,211.0,-211.0,BACKTESTING,long_base_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.506,BACKTESTING.438,2022-09-21 00:00:00+08:00,2022-09-21,00:00:00,hc2301.SHFE,hc2301,SHFE,空,开,3740.0,251.0,-251.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.507,BACKTESTING.439,2022-09-23 00:00:00+08:00,2022-09-23,00:00:00,hc2301.SHFE,hc2301,SHFE,多,平,3808.0,251.0,251.0,BACKTESTING,short_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.508,BACKTESTING.440,2022-10-28 00:00:00+08:00,2022-10-28,00:00:00,cu2212.SHFE,cu2212,SHFE,多,开,63630.0,31.0,31.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.509,BACKTESTING.440.stage827_c2,2022-10-28 00:00:00+08:00,2022-10-28,00:00:00,cu2212.SHFE,cu2212,SHFE,空,平,63140.0,31.0,-31.0,BACKTESTING,stage827_intraday_c2_1r_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.510,BACKTESTING.441,2022-11-08 00:00:00+08:00,2022-11-08,00:00:00,OI301.CZCE,OI301,CZCE,多,开,11601.0,85.0,85.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.511,BACKTESTING.442,2022-11-09 00:00:00+08:00,2022-11-09,00:00:00,OI301.CZCE,OI301,CZCE,空,平,11625.0,85.0,-85.0,BACKTESTING,long_risk_cluster_heat_deleverage,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.512,BACKTESTING.443,2022-11-10 00:00:00+08:00,2022-11-10,00:00:00,lh2301.DCE,lh2301,DCE,空,开,21500.0,29.0,-29.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.513,BACKTESTING.444,2022-11-11 00:00:00+08:00,2022-11-11,00:00:00,lh2301.DCE,lh2301,DCE,多,平,21240.0,29.0,29.0,BACKTESTING,short_risk_cluster_heat_deleverage,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.514,BACKTESTING.445,2022-11-23 00:00:00+08:00,2022-11-23,00:00:00,lh2301.DCE,lh2301,DCE,空,开,20590.0,31.0,-31.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.515,BACKTESTING.446,2022-11-25 00:00:00+08:00,2022-11-25,00:00:00,sp2301.SHFE,sp2301,SHFE,多,开,7150.0,196.0,196.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.516,BACKTESTING.447,2022-11-29 00:00:00+08:00,2022-11-29,00:00:00,lh2301.DCE,lh2301,DCE,多,平,20700.0,31.0,31.0,BACKTESTING,short_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.517,BACKTESTING.448,2022-11-29 00:00:00+08:00,2022-11-29,00:00:00,sp2301.SHFE,sp2301,SHFE,空,平,6970.0,196.0,-196.0,BACKTESTING,long_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.518,BACKTESTING.449,2022-11-30 00:00:00+08:00,2022-11-30,00:00:00,jm2301.DCE,jm2301,DCE,多,开,2241.5,29.0,29.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.519,BACKTESTING.450,2022-12-02 00:00:00+08:00,2022-12-02,00:00:00,jm2301.DCE,jm2301,DCE,空,平,2172.0,29.0,-29.0,BACKTESTING,long_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.520,BACKTESTING.451,2022-12-09 00:00:00+08:00,2022-12-09,00:00:00,lh2301.DCE,lh2301,DCE,空,开,19355.0,12.0,-12.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.521,BACKTESTING.452,2022-12-22 00:00:00+08:00,2022-12-22,00:00:00,lh2301.DCE,lh2301,DCE,多,平,15000.0,12.0,12.0,BACKTESTING,rollover_close,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.522,BACKTESTING.453,2022-12-22 00:00:00+08:00,2022-12-22,00:00:00,lh2303.DCE,lh2303,DCE,空,开,16050.0,12.0,-12.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.523,BACKTESTING.453.stage847_c9.1,2022-12-22 09:00:00+08:00,2022-12-22,09:00:00,lh2303.DCE,lh2303,DCE,多,平,16052.5,12.0,12.0,BACKTESTING,stage847_intraday_retry_failed_05r_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.524,BACKTESTING.453.stage847_c9.2,2022-12-22 09:01:00+08:00,2022-12-22,09:01:00,lh2303.DCE,lh2303,DCE,空,开,16050.0,12.0,-12.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.525,BACKTESTING.453.stage847_c9.3,2022-12-22 09:02:00+08:00,2022-12-22,09:02:00,lh2303.DCE,lh2303,DCE,多,平,16052.5,12.0,12.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.526,BACKTESTING.454,2022-12-23 00:00:00+08:00,2022-12-23,00:00:00,au2302.SHFE,au2302,SHFE,多,开,410.3,35.0,35.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.527,BACKTESTING.455,2022-12-26 00:00:00+08:00,2022-12-26,00:00:00,au2302.SHFE,au2302,SHFE,空,平,407.44,35.0,-35.0,BACKTESTING,long_base_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
