tq_symbol,exchange,symbol,status,rows,file_path,message,updated_at
CFFEX.IC2507,CFFEX,IC2507,downloaded,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2507.csv,,2026-04-22T13:31:46
CFFEX.IC2508,CFFEX,IC2508,downloaded,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2508.csv,,2026-04-22T13:31:46
CFFEX.IC2509,CFFEX,IC2509,downloaded,164,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2509.csv,,2026-04-22T13:31:47
CFFEX.IC2510,CFFEX,IC2510,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2510.csv,,2026-04-22T13:31:47
CFFEX.IC2511,CFFEX,IC2511,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2511.csv,,2026-04-22T13:31:47
CFFEX.IC2512,CFFEX,IC2512,downloaded,165,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2512.csv,,2026-04-22T13:31:47
CFFEX.IC2601,CFFEX,IC2601,downloaded,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2601.csv,,2026-04-22T13:31:47
CFFEX.IC2602,CFFEX,IC2602,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2602.csv,,2026-04-22T13:31:47
CFFEX.IC2603,CFFEX,IC2603,downloaded,161,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2603.csv,,2026-04-22T13:31:47
CFFEX.IC2604,CFFEX,IC2604,downloaded,37,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2604.csv,,2026-04-22T13:31:47
CFFEX.IF2009,CFFEX,IF2009,downloaded,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2009.csv,,2026-04-22T13:31:47
CFFEX.IF2010,CFFEX,IF2010,downloaded,34,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2010.csv,,2026-04-22T13:31:48
CFFEX.IF2011,CFFEX,IF2011,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2011.csv,,2026-04-22T13:31:48
CFFEX.IF2012,CFFEX,IF2012,downloaded,164,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2012.csv,,2026-04-22T13:31:48
CFFEX.IF2101,CFFEX,IF2101,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2101.csv,,2026-04-22T13:31:48
CFFEX.IF2102,CFFEX,IF2102,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2102.csv,,2026-04-22T13:31:48
CFFEX.IF2103,CFFEX,IF2103,downloaded,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2103.csv,,2026-04-22T13:31:48
CFFEX.IF2104,CFFEX,IF2104,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2104.csv,,2026-04-22T13:31:48
CFFEX.IF2105,CFFEX,IF2105,downloaded,41,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2105.csv,,2026-04-22T13:31:48
CFFEX.IF2106,CFFEX,IF2106,downloaded,164,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2106.csv,,2026-04-22T13:31:48
CFFEX.IF2107,CFFEX,IF2107,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2107.csv,,2026-04-22T13:31:49
CFFEX.IF2108,CFFEX,IF2108,downloaded,45,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2108.csv,,2026-04-22T13:31:49
CFFEX.IF2109,CFFEX,IF2109,downloaded,165,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2109.csv,,2026-04-22T13:31:49
CFFEX.IF2110,CFFEX,IF2110,downloaded,33,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2110.csv,,2026-04-22T13:31:50
CFFEX.IF2111,CFFEX,IF2111,downloaded,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2111.csv,,2026-04-22T13:31:50
CFFEX.IF2112,CFFEX,IF2112,downloaded,164,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2112.csv,,2026-04-22T13:31:50
CFFEX.IF2201,CFFEX,IF2201,downloaded,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2201.csv,,2026-04-22T13:31:50
CFFEX.IF2202,CFFEX,IF2202,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2202.csv,,2026-04-22T13:31:50
CFFEX.IF2203,CFFEX,IF2203,downloaded,162,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2203.csv,,2026-04-22T13:31:51
CFFEX.IF2204,CFFEX,IF2204,downloaded,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2204.csv,,2026-04-22T13:31:51
CFFEX.IF2205,CFFEX,IF2205,downloaded,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2205.csv,,2026-04-22T13:31:52
CFFEX.IF2206,CFFEX,IF2206,downloaded,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2206.csv,,2026-04-22T13:31:52
CFFEX.IF2207,CFFEX,IF2207,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2207.csv,,2026-04-22T13:31:52
CFFEX.IF2208,CFFEX,IF2208,downloaded,45,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2208.csv,,2026-04-22T13:31:52
CFFEX.IF2209,CFFEX,IF2209,downloaded,158,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IF2209.csv,,2026-04-22T13:31:52
