window_id,window_group,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,A_end_equity,C_end_equity,A_return_pct,C_return_pct,delta_return_pct,A_max_dd_pct,C_max_dd_pct,dd_worsening_pp,A_sharpe,C_sharpe,delta_sharpe,A_slippage,C_slippage,A_trades,C_trades,A_win_rate_pct,C_win_rate_pct,A_survival_pass,C_survival_pass,A_broker100_pass,C_broker100_pass,return_win,C_positive,A_positive,dd_noninferior_2pp,sharpe_noninferior_005,A_dd40_fail,C_dd40_fail,A_dd50_fail,C_dd50_fail
roll_2y_2024_06_near_complete,rolling_2y,2,2024-06-01,2026-05-29,0,1,253445.50000000006,244542.80000000005,68.96366666666671,63.02853333333336,-5.935133333333354,-18.858267716535437,-21.851161908375218,2.992894191839781,0.9967605902734864,0.9650812250845341,-0.03167936518895231,12030.0,11340.0,122,128,51.21951219512195,50.62240663900415,1,1,1,1,0,1,1,0,1,0,0,0,0
roll_3y_2018_01,rolling_3y,3,2018-01-01,2020-12-31,1,0,546707.7000000002,558057.2000000002,264.47180000000014,272.03813333333346,7.5663333333333185,-27.777239819537925,-26.27886162179818,0.0,1.4652385654029974,1.4577579431259045,-0.0074806222770928965,44080.0,43260.0,309,319,53.827160493827165,52.930402930402934,1,1,1,1,1,1,1,1,1,0,0,0,0
roll_3y_2018_06,rolling_3y,3,2018-06-01,2021-05-31,1,0,2233790.9000000004,2331632.0,1389.1939333333335,1454.4213333333335,65.22739999999999,-27.285381748915206,-27.268154085837704,0.0,2.2925332479915865,2.2976477746991493,0.005114526707562739,70400.0,75650.0,331,340,55.36105032822757,55.27638190954774,1,1,1,1,1,1,1,1,1,0,0,0,0
roll_3y_2019_01,rolling_3y,3,2019-01-01,2021-12-31,1,0,4400011.200000001,4175006.5999999996,2833.3408000000004,2683.3377333333333,-150.0030666666671,-31.049246740114057,-32.00849969673428,0.9592529566202259,2.3971918936575083,2.3757411995338,-0.02145069412370848,166040.0,154420.0,382,389,57.38636363636363,56.810631229235874,1,1,1,1,0,1,1,1,1,0,0,0,0
roll_3y_2019_06,rolling_3y,3,2019-06-01,2022-05-31,1,0,2012818.4000000004,2332094.1999999983,1241.8789333333336,1454.7294666666655,212.8505333333319,-42.72521237688651,-43.039550595322595,0.31433821843608456,1.8778424128451547,1.9236546062151387,0.04581219336998399,162790.0,183650.0,398,396,56.28318584070796,56.12582781456954,1,1,1,1,1,1,1,1,1,1,1,0,0
roll_3y_2020_01,rolling_3y,3,2020-01-01,2022-12-31,1,0,1998338.6000000022,2065647.400000001,1232.2257333333348,1277.0982666666673,44.87253333333251,-43.52175501158403,-43.489294263947976,0.0,1.761875265119257,1.7617064738132637,-0.00016879130599334324,162910.0,165980.0,366,365,55.576559546313796,55.3875236294896,1,1,1,1,1,1,1,1,1,1,1,0,0
roll_3y_2020_06,rolling_3y,3,2020-06-01,2023-05-31,1,0,1348680.2999999996,1016061.7999999991,799.1201999999997,577.3745333333327,-221.74566666666703,-52.19921045849911,-55.749555628004984,3.5503451695058743,1.554514609250017,1.3620552654066742,-0.19245934384334284,155430.0,140560.0,343,346,54.43548387096774,53.18725099601593,1,1,1,1,0,1,1,0,0,1,1,1,1
roll_3y_2021_01,rolling_3y,3,2021-01-01,2023-12-31,1,0,749108.7999999997,766418.7999999997,399.4058666666665,410.9458666666665,11.54000000000002,-54.31795944572162,-54.97530222374326,0.6573427780216434,1.2655452828991787,1.2658953647135036,0.0003500818143249429,92660.0,97080.0,297,299,50.32967032967033,50.99778270509978,1,1,1,1,1,1,1,1,1,1,1,1,1
roll_3y_2021_06,rolling_3y,3,2021-06-01,2024-05-31,1,0,301295.0,322140.0,100.86333333333334,114.76000000000002,13.896666666666675,-51.25291461290988,-52.39809168925022,1.1451770763403388,0.7932003801113481,0.831297818640161,0.038097438528812866,21990.0,24410.0,282,286,49.134199134199136,50.96359743040685,1,1,1,1,1,1,1,1,1,1,1,1,1
roll_3y_2022_01,rolling_3y,3,2022-01-01,2024-12-31,1,0,219955.00000000003,218125.00000000003,46.636666666666684,45.416666666666686,-1.2199999999999989,-39.982045671323576,-46.06962380685008,6.087578135526506,0.5495115936332264,0.5271963168218513,-0.02231527681137513,13400.0,14260.0,217,219,49.4279176201373,49.42263279445728,1,1,1,1,0,1,1,0,1,0,1,0,0
roll_3y_2022_06,rolling_3y,3,2022-06-01,2025-05-31,1,0,281810.0,290960.0,87.87333333333333,93.97333333333333,6.099999999999994,-50.299468443512765,-50.87968855281875,0.5802201093059836,0.7604796092331261,0.782956869648055,0.022477260414928923,22970.0,24490.0,217,227,49.411764705882355,49.88505747126437,1,1,1,1,1,1,1,1,1,1,1,1,1
roll_3y_2023_01,rolling_3y,3,2023-01-01,2025-12-31,1,0,363196.20000000007,341741.20000000007,142.13080000000008,127.82746666666674,-14.303333333333342,-24.468997361477573,-24.468997361477573,0.0,1.0598455800099815,0.9892386646899578,-0.07060691532002372,20390.0,21020.0,212,219,51.68539325842697,51.36363636363637,1,1,1,1,0,1,1,1,0,0,0,0,0
roll_3y_2023_06_near_complete,rolling_3y,3,2023-06-01,2026-05-29,0,1,420670.2000000001,374087.1000000001,180.44680000000008,149.39140000000006,-31.05540000000002,-23.928766172100758,-23.57510687807781,0.0,1.2014626538466016,1.0940755818187926,-0.10738707202780895,28690.0,27080.0,233,239,51.89309576837417,51.67785234899329,1,1,1,1,0,1,1,1,0,0,0,0,0
