requested_top_n,eval_date,actual_ranked_count,actual_total_count,formal_top8_preserved,fixed_fu_present,member_signature
11,2022-12-30,11,12,True,True,"AP.CZCE,MA.CZCE,SH.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX"
11,2023-01-31,11,12,True,True,"AP.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE"
11,2023-02-28,11,12,True,True,"FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,rb.SHFE,si.GFEX"
11,2023-03-31,11,12,True,True,"MA.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,si.GFEX"
11,2023-04-28,11,12,True,True,"FG.CZCE,MA.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,si.GFEX"
11,2023-05-31,11,12,True,True,"AP.CZCE,CF.CZCE,FG.CZCE,MA.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,lc.GFEX,si.GFEX"
11,2023-06-30,11,12,True,True,"AP.CZCE,CF.CZCE,FG.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE"
11,2023-07-31,11,12,True,True,"AP.CZCE,CF.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,lc.GFEX,lh.DCE,si.GFEX"
11,2023-08-31,11,12,True,True,"CF.CZCE,FG.CZCE,MA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,lc.GFEX,lh.DCE,si.GFEX"
11,2023-09-28,11,12,True,True,"CF.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX"
11,2023-10-31,11,12,True,True,"CF.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,ru.SHFE"
11,2023-11-30,11,12,True,True,"CF.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,ru.SHFE,sp.SHFE"
11,2023-12-29,11,12,True,True,"CF.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lh.DCE,ru.SHFE,sp.SHFE"
11,2024-01-31,11,12,True,True,"CF.CZCE,FG.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,fu.SHFE,jm.DCE,lc.GFEX,ru.SHFE,si.GFEX,sp.SHFE"
11,2024-02-29,11,12,True,True,"FG.CZCE,MA.CZCE,OI.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,ru.SHFE,si.GFEX"
11,2024-03-29,11,12,True,True,"FG.CZCE,MA.CZCE,OI.CZCE,SH.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX"
11,2024-04-30,11,12,True,True,"CF.CZCE,FG.CZCE,MA.CZCE,SA.CZCE,SM.CZCE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,ru.SHFE,si.GFEX"
