logical_path,payload_path,role,storage,size_bytes,sha256,source_path
examples/portfolio_backtesting/analyze_qmt_roll_stage901_stage847_c9_2026_ytd_live_shadow.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage901_stage847_c9_2026_ytd_live_shadow.py,runtime_code,git,49201,98e0c28cdd4e9610b0fc4c5b5f3215e0e5bc568e2d6f966998f4afa67433788a,examples/portfolio_backtesting/analyze_qmt_roll_stage901_stage847_c9_2026_ytd_live_shadow.py
examples/portfolio_backtesting/audit_qmt_roll_official_promotion_closure.py,payload/examples/portfolio_backtesting/audit_qmt_roll_official_promotion_closure.py,runtime_code,git,16791,b560eea4dea2638d3ef4f1295f4950795227822354188fee08a229f9052018cf,examples/portfolio_backtesting/audit_qmt_roll_official_promotion_closure.py
examples/portfolio_backtesting/audit_qmt_roll_stage179_readonly_canary_qualification.py,payload/examples/portfolio_backtesting/audit_qmt_roll_stage179_readonly_canary_qualification.py,runtime_code,git,39637,2f2aa818997ca9867fa00cdd379deab41e523555a3114f59670adbeca660c55a,examples/portfolio_backtesting/audit_qmt_roll_stage179_readonly_canary_qualification.py
examples/portfolio_backtesting/build_qmt_roll_ai_candidate_selection_pairwise_samples.py,payload/examples/portfolio_backtesting/build_qmt_roll_ai_candidate_selection_pairwise_samples.py,runtime_code,git,13999,0b13e6797606a9f0206168493cb0a2c26dc924818c1a2f9a420036db8797b5d1,examples/portfolio_backtesting/build_qmt_roll_ai_candidate_selection_pairwise_samples.py
examples/portfolio_backtesting/build_qmt_roll_ai_candidate_selection_pairwise_samples_v2.py,payload/examples/portfolio_backtesting/build_qmt_roll_ai_candidate_selection_pairwise_samples_v2.py,runtime_code,git,8685,22d18f920303279756c79748e518073eba2837511be7b8b0a177ddfa0c87f868,examples/portfolio_backtesting/build_qmt_roll_ai_candidate_selection_pairwise_samples_v2.py
examples/portfolio_backtesting/build_qmt_roll_ai_candidate_training_samples.py,payload/examples/portfolio_backtesting/build_qmt_roll_ai_candidate_training_samples.py,runtime_code,git,25283,039ec6cd1f76b8eb2de275d8fcc310557e2e70005f25c98c8478e6cc42066dd4,examples/portfolio_backtesting/build_qmt_roll_ai_candidate_training_samples.py
examples/portfolio_backtesting/build_qmt_roll_ai_position_training_samples.py,payload/examples/portfolio_backtesting/build_qmt_roll_ai_position_training_samples.py,runtime_code,git,29587,be5cd6d8bcb91292c54c8232f9d3e4d060e8dbcb8e8815e218e26f2d3d65039a,examples/portfolio_backtesting/build_qmt_roll_ai_position_training_samples.py
examples/portfolio_backtesting/build_qmt_roll_official_strategy_material_release.py,payload/examples/portfolio_backtesting/build_qmt_roll_official_strategy_material_release.py,runtime_code,git,62597,f8a4be765beac3802cc7a6a556969634444e15a9421c74c254f1aa580eb966c5,examples/portfolio_backtesting/build_qmt_roll_official_strategy_material_release.py
examples/portfolio_backtesting/build_qmt_roll_stage065_top10_fu_formal_ai_bundle.py,payload/examples/portfolio_backtesting/build_qmt_roll_stage065_top10_fu_formal_ai_bundle.py,runtime_code,git,18658,22e0ad793550a44051c73381ce5e4f2362101c3826360a0df8fdd68a591f096d,examples/portfolio_backtesting/build_qmt_roll_stage065_top10_fu_formal_ai_bundle.py
examples/portfolio_backtesting/build_qmt_roll_stage173_forward_main_contract_data_update.py,payload/examples/portfolio_backtesting/build_qmt_roll_stage173_forward_main_contract_data_update.py,runtime_code,git,19646,4584e1e290138a10c9f5c3d0130f0070534e7ae831d55c45e4874f973dbfbedb,examples/portfolio_backtesting/build_qmt_roll_stage173_forward_main_contract_data_update.py
examples/portfolio_backtesting/build_qmt_roll_stage179_activation_receipt.py,payload/examples/portfolio_backtesting/build_qmt_roll_stage179_activation_receipt.py,runtime_code,git,8308,215b7f934a570997f1542245efd97f4aefec763fed4556e7943fb2d8a99990fe,examples/portfolio_backtesting/build_qmt_roll_stage179_activation_receipt.py
examples/portfolio_backtesting/build_qmt_roll_stage179_production_qualification_bundle.py,payload/examples/portfolio_backtesting/build_qmt_roll_stage179_production_qualification_bundle.py,runtime_code,git,52291,69ddbcff83542324f47b6fd075a93057738e22166388587d52ce8f7c65a86da7,examples/portfolio_backtesting/build_qmt_roll_stage179_production_qualification_bundle.py
examples/portfolio_backtesting/build_qmt_roll_stage179_release_manifest.py,payload/examples/portfolio_backtesting/build_qmt_roll_stage179_release_manifest.py,runtime_code,git,107347,0524c28e68381158855924e0bd147feba955d2b657915da64d974f6c721ae138,examples/portfolio_backtesting/build_qmt_roll_stage179_release_manifest.py
examples/portfolio_backtesting/build_qmt_roll_stage179_rollback_guard.py,payload/examples/portfolio_backtesting/build_qmt_roll_stage179_rollback_guard.py,runtime_code,git,4919,e0c105df8b9543c9e4ef34eee49cdf9d5ee5d43fc0433207f50fa2838908bf1f,examples/portfolio_backtesting/build_qmt_roll_stage179_rollback_guard.py
